topic,noise_count,total,noise_pct
"My reflection will be based on the ability to take initiative and the will to make decisions in the face of uncertainty; considering the challenge of being able to communicate in an orderly manner and respecting the contribution of others.

ENG1050 was my first encounter with engineering at Macquarie University, as an exchange student I was introduced not only to new academic knowledge but also to a new education system and culture. My initial fears were based on the fact of knowing whether I was going to understand the content of the unit, if my previous education was enough to cover the requirements.
The biggest challenge for me personally was to communicate my thoughts and ideas given the language barrier. Consequently, if I wanted to have an active role in my group and contribute as I was required to do so; I needed to get out my comfort zone and express myself.",1,1,100.0
"The skills that I will be referring to in my responses are listed below:

INTERPERSONAL SKILLS: 

	* Teamwork and communication, 
	* Forming effective teams 
	* Accountability in a team operation

COMMUNICATION : 

	* Visual communications strategy  
	* Communications structure",1,1,100.0
Holding and Documenting Meetings/Professional Behaviour,1,1,100.0
"Transferable skills are vital as they overlap into different industries and occupations and provide beneficial outcomes for individuals. Creating good habits is a transferable skill which can be vital to an individual's development personally and professionally. Throughout ENGG1050 I have grown as an individual based on the habit creating methods discussed by tutors. The adoption of James Clear's - Cue --> Response --> Reward methodology has allowed me to create good habits that have assisted me in becoming more organised, feeling more motivated -- while creating discipline in all realms of life. The philosophy of instant gratification vs delayed gratification made an impact on the way I now view tasks. Understanding that small changes everyday, even 1%, make a huge difference in the long run has allowed me to trust the process, even when results are instant I can be confident that these small 1% changes will pay off in the long run. This mentality that I am striving to continually improve on is a transferable skill that I can carry through personal and professional envious in the future.",1,1,100.0
"Transferable skills are vital as they overlap into different industries and occupations and provide beneficial outcomes for individuals. Creating good habits is a transferable skill which can be vital to an individual's development personally and professionally. Throughout ENGG1050 I have grown as an individual based on the habit creating methods discussed by tutors. The adoption of James Clear's - Cue --> Response --> Reward methodology has allowed me to create good habits that have assisted me in becoming more organised, feeling more motivated -- while creating discipline in all realms of life. The philosophy of instant gratification vs delayed gratification has made an impact on the way I now view tasks. Understanding that small changes everyday, even 1%, make a huge difference in the long run has allowed me to trust the process, even when results are instant I can be confident that these small 1% changes will pay off in the long run. This mentality that I am striving to continually improve on is a transferable skill that I can carry through personal and professional envious in the future",1,1,100.0
"Within ENGG 1050 I feel the key component of the subject is communication and not just the ability to project your message or opinion but the lessons are based on generating a personal branding that you can carry with you as you progress onto your professional career. During the classes, we all demonstrate multiple ways of communicating in a professional, clear and concise manner. This has been done through many different methods from presentation techniques, Branding methods and its importance and interview question techniques.

This subject has highlighted that communication is a vitally important skill that all engineers need to master in order to function within the profession, because no matter how good a person or their ideas are if it is not communicated well then it will be extremely difficult to execute.",1,1,100.0
"IDENTIFYING THE ISSUE, PROBLEM, OR PARADOX",1,1,100.0
"The main skills that i will be reflecting over are creative thinking, reproducibility and oral presentation.",1,1,100.0
thinking calmly under pressure and failure assessment ,1,1,100.0
"Designing, prototyping and testing of components.",1,1,100.0
THE DESIGN PROCESS PHASING AND APPROACHES,1,1,100.0
Critical thinking and analysis of possible faults in our RGM designs.,1,1,100.0
THE TRANSFERABLE SKILLS TOPIC I WILL BE REFLECTING OVER IS MY EXPERIENCE WITH LEARNING TO TAKE INITIATIVE WITHIN A TEAM ENVIRONMENT AND DISPLAY LEADERSHIP QUALITIES.,1,1,100.0
Understanding our needs and setting our goals.,1,1,100.0
SELF MANAGEMENT OF TIME AND RESOURCES,1,1,100.0
Implementation management,1,1,100.0
Accountability in a Team Operation.,1,1,100.0
"The skill that I will mainly be reflecting over is, Time and resource management.",1,1,100.0
"A skill that I have developed throughout this course has been the skill and technique of looking at solutions and determining if it is a realistic solution. I believe this skill is important for engineers to help save on time and resources.

Throughout the development of the RGM project there have been many solutions developed, each with different and unique concepts. While many of these solutions were interesting, I was quick to point out that many of them were not possible due to a variety of factors such as time, complexity, and cost. After some team discussion it was decided that we would use more simple solutions to ensure that the project was completed on time.

Critical thinking is vitally important to engineers throughout all stages of the project. Looking at solutions objectively and with an open mind helps ensure that solutions can be created within the give time frame and budget. While it is important to understand when a solution is achievable, it is just as important to know when a solution is not.",1,1,100.0
Time Management,1,1,100.0
"Attitudes, Thought and Learning ",1,1,100.0
TOPIC: Time and resource management,1,1,100.0
Teamwork and communication.,1,1,100.0
"Understanding needs and setting goals, which is a simple concept that allowed me to progress in my studies that can involve creating multiple small goals for a big task to allow me to satisfy the needs.",1,1,100.0
"Forming Effective teams

Communication Structure",1,1,100.0
"The transferable skill I will be focusing on is transparency, accountability and collaboration in a team operation within the context of the Rube Goldberg Machine project.",1,1,100.0
Understanding everyone's situation and communicating.,1,1,100.0
Interpersonal skills in particular Written Communication ,1,1,100.0
