cluster,keywords
0,"visualise idea, rgm brainstorm, brainstorm conceptual, idea design, idea presentation"
1,"student interview, represent student, need approach, meeting help, student concern"
2,"toolbox fabrication, construction toolbox, fabrication toolbox, fabricate toolbox, assemble toolbox"
3,"requirement engine, sensor management, engine management, engine sensor, required sensor"
4,"solution develop, filtration study, process project, develop solution, solution process"
5,"detect error, error handling, error hurdle, error find_round_winner, error approach"
6,"optimize codebase, improve performance, optimization codebase, software optimization, codebase performance"
7,"advertising strategy, marketing strategy, strategy marketing, advertising approach, marketing technique"
8,"lead brainstorming, team project, lead brainstorm, build teamwork, team task"
9,"drawing need, drawing task, hour drawing, drawing assessment, drawing time"
10,"problem engineer, engineering practice, engineering management, practice engineering, engineering team"
11,"ai education, apply ai, involve knowledge, student ai, innovation task"
12,"drawing experience, draw technical, drawing technical, drawing proficiency, drawing learn"
13,"method drawing, drawing approach, efficiently drawing, utilise drawing, view drawing"
14,"arduino exercise, building task, arduino task, weekly task, coding activity"
15,"plan iterative, iterative process, task structured, task tackle, iteratively"
16,"work laptop, transfer desktop, pc laptops, laptop deployment, technology support"
17,"tea brainstorm, designing tea, design tea, project tea, project brainstorming"
18,"scheduling, organise time, schedule work, utilise scheduling, schedule excel"
19,"manage time, model task, time management, task model, work model"
20,"model building, building model, modelling project, construction model, model making"
21,"dishonest student, academic integrity, class dishonest, honesty academic, flagrant plagiarism"
22,"managing time, scheduling completion, time management, manage time, organise time"
23,"project marketing, team project, project goal, project process, project objectives"
24,"team design, conflict idea, design team, teamwork problem, deal teamwork"
25,"improve group, teamwork develop, learn cooperate, encourage group, encourage team"
26,"team design, design combine, design cooperative, design team, teamwork engineering"
27,"brainstorming design, brainstorm design, make brainstorming, communicate idea, brainstorming technique"
28,"presentation team, group project, presentation meeting, weekly presentation, project group"
29,"fail swing, problem swing, swing push, object swing, swing wall"
30,"group task, require teamwork, communicate team, teamwork communication, group work"
31,"build domino, domino chain, make domino, reduce domino, chain time"
32,"pulley cup, cup unstable, bean drawstring, bean cup, event design"
33,"event recording, video presentation, building recording, create storyboard, formation storyboards"
34,"teamwork present, group work, team work, split work, group task"
35,"teamwork accountability, communicate accountability, communication teamwork, accountability task, accountability engg"
36,"theme brainstorm, utilisation brainstorm, idea brainstorming, week brainstorm, meeting brainstorm"
37,"meeting brainstorm, brainstorming session, session brainstorm, brainstorm session, group brainstorm"
38,"discussion moderator, discussion prepare, discussion learn, discussion ensure, facilitate discussion"
39,"communication project, communication brainstorm, communicate team, communication collaboration, communication teamwork"
40,"teamwork communication, communication teamwork, communicate team, team communicate, team communication"
41,"chairperson initiative, leadership group, develop leadership, leadership assignment, assign leader"
42,"improve interpersonal, interpersonal skill, develop interpersonal, practice interpersonal, utilize interpersonal"
43,"organise team, group work, effective teamwork, skill organise, group organise"
44,"establish teamwork, teamwork project, team project, team meeting, develop teamwork"
